Node_name	Nr	Li	Nl	Lr
1	2	2	2	3
2	2	2	2	3
5	2	2	2	3
13	2	2	2	3
14	2	2	2	3
44	2	2	2	3
55	2	2	2	3
56	2	2	2	3
57	2	2	2	3
58	2	2	2	3
59	2	2	2	3
60	2	2	2	3
68	2	2	2	3
113	2	2	2	3
160	2	2	2	3
170	2	2	2	3
171	2	2	2	3
178	2	2	2	3
180	2	2	2	3
226	2	2	2	3
6	2	2	2	3
45	2	2	2	3
54	2	2	2	3
67	2	2	2	3
161	2	2	2	3
179	2	2	2	3
181	2	2	2	3
185	2	2	2	3
225	2	2	2	3
3	2	2	2	3
4	2	2	2	3
17	2	2	2	3
70	2	2	2	3
71	2	2	2	3
81	2	2	2	3
83	2	2	2	3
112	2	2	2	3
118	2	2	2	3
124	2	2	2	3
130	2	2	2	3
166	2	2	2	3
173	2	2	2	3
175	2	2	2	3
176	2	2	2	3
177	2	2	2	3
184	2	2	2	3
188	2	2	2	3
198	2	2	2	3
200	2	2	2	3
212	1	2	2	3
216	2	2	2	3
220	2	2	2	3
231	2	2	2	3
286	1	2	1	3
23	2	2	2	3
61	2	2	2	3
69	2	2	2	3
84	2	2	2	3
131	2	2	2	3
162	2	2	2	3
189	2	2	2	3
205	2	2	2	3
21	2	2	2	3
52	2	2	2	3
134	2	2	2	3
182	2	2	2	3
221	2	2	2	3
12	2	2	2	3
20	2	2	2	3
22	2	2	2	3
53	2	2	2	3
76	2	2	2	3
159	2	2	2	3
167	2	2	2	3
222	2	2	2	3
234	2	2	2	3
7	2	2	2	3
8	2	2	2	3
11	2	2	2	3
41	2	2	2	3
75	2	2	2	3
78	2	2	2	3
151	2	2	2	3
9	2	2	2	3
10	2	2	2	3
18	2	2	2	3
19	2	2	2	3
15	2	2	2	3
42	2	2	2	3
46	2	2	2	3
50	2	2	2	3
73	2	2	2	3
114	2	2	2	3
43	2	2	2	3
47	2	2	2	3
74	2	2	2	3
77	2	2	2	3
174	2	2	2	3
111	2	2	2	3
163	2	2	2	3
169	0	1	2	3
202	2	2	2	3
203	2	2	2	3
224	2	2	2	3
96	2	2	2	3
168	0	1	2	3
183	2	2	2	3
223	2	2	2	3
251	2	2	2	3
24	2	2	2	3
62	2	2	2	3
63	2	2	2	3
65	2	2	2	3
66	2	2	2	3
16	2	2	2	3
49	2	2	2	3
51	2	2	2	3
115	2	2	2	3
133	2	2	2	3
157	2	2	2	3
199	2	2	2	3
40	2	2	2	3
79	2	2	2	3
80	2	2	2	3
172	2	2	2	3
109	2	2	2	3
219	2	2	2	3
252	2	2	2	3
72	2	2	2	3
85	2	2	2	3
152	2	2	2	3
187	2	2	2	3
209	2	2	2	3
25	2	2	2	3
82	2	2	2	3
